facility_name,state,capacity_mw,fuel_source,accreditation_code,postcode,accreditation_start_date,approval_date,committed_date,project_status
DONS FORT - SOLAR W SGU - QLD,QLD,0.421,Solar,SRPXQLO8,4660,21/10/2025,6/01/2026,,accredited
Mintus Coles - Solar w SGU- NSW,NSW,0.19,Solar,SRPYNSK0,2153,9/12/2025,6/01/2026,,accredited
Ventora - Acacia Ridge - Solar - QLD,QLD,0.162,Solar,SRPXQLP1,4110,17/11/2025,6/01/2026,,accredited
Bayside Aged Care - Solar - Morisset - NSW,NSW,0.14,Solar,SRPYNSK3,2264,16/12/2025,8/01/2026,,accredited
Matrix Composites and Engineering Pty Ltd - Solar - WA,WA,0.85,Solar,SRPVWAQ0,6166,17/12/2025,8/01/2026,,accredited
Accensi Narangba - Solar - QLD,QLD,0.199,Solar,SRPXQLP4,4504,24/11/2025,9/01/2026,,accredited
Bunge Port Giles - Solar - SA,SA,0.478,Solar,SRPXSA19,5583,11/12/2025,16/01/2026,,accredited
HBF Stadium Carpark 4 PV System - Solar w SGU - WA,WA,0.259,Solar,SRPVWAP2,6010,10/09/2025,16/01/2026,,accredited
Stockland M-park Building C - Solar - NSW,NSW,0.125,Solar,SRPYNSJ2,2113,6/11/2025,16/01/2026,,accredited
Waverley Gardens - Solar w SGU - VIC,VIC,0.521,Solar,SRPXVCU9,3170,3/10/2025,20/01/2026,,accredited
The Barracks - Solar w SGU - QLD,QLD,0.302,Solar,SRPXQLP3,4000,21/11/2025,21/01/2026,,accredited
Altona Stage 1 & BESS - Solar - Vic,VIC,1.179,Solar,SRPXVCW5,3018,12/12/2025,22/01/2026,,accredited
Tabbita-Solar-NSW,NSW,7.157,Solar,SRPYNSJ3,2652,7/11/2025,22/01/2026,,accredited
CLV GUV Village - Solar w SGU - QLD,QLD,0.248,Solar,SRPXQLO3,4215,16/09/2025,23/01/2026,,accredited
BAULKHAM HILLS - SOLAR W SGU - NSW,NSW,0.228,Solar,SRPYNSI3,2153,16/10/2025,27/01/2026,,accredited
RAAFA (ARK) - Solar - WA,WA,0.3,Solar,SRPVWAO8,6149,25/08/2025,27/01/2026,,accredited
CHARTER HALL-CL3030 DRYSTONE-SOLAR-VIC,VIC,0.223,Solar,SRPXVCW2,3029,26/11/2025,29/01/2026,,accredited
Leppington BP 3 & BESS - Solar w SGU - NSW,NSW,0.783,Solar,SRPYNSI1,2179,3/10/2025,29/01/2026,,accredited
Woolworths CFC Adelaide 8849 - Solar - SA,SA,0.33,Solar,SRPXSA17,5035,10/12/2025,29/01/2026,,accredited
Yumbah Aquaculture Ltd - Solar - SA,SA,0.752,Solar,SRPXSA21,5223,16/01/2026,29/01/2026,,accredited
40 Cameron Ave - Solar - ACT,ACT,0.185,Solar,SRPVAC42,2617,12/12/2025,11/02/2026,,accredited
BC Westcourt - Solar - QLD,QLD,0.2,Solar,SRPXQLQ6,4870,23/01/2026,11/02/2026,,accredited
Bunnings Carseldine - Solar - QLD,QLD,0.38,Solar,SRPXQLJ9,4036,4/02/2026,11/02/2026,,accredited
Goodman AU744 Lawrence & Hanson - Solar - VIC,VIC,0.101,Solar,SRPXVCW1,3194,20/11/2025,11/02/2026,,accredited
Porsche Centre Parramatta - Solar - NSW,NSW,0.04,Solar,SRPYNSJ0,2142,4/11/2025,11/02/2026,,accredited
UA Aldergate Village - Solar - TAS,TAS,0.479,Solar,SRPVTA30,7248,16/01/2026,11/02/2026,,accredited
BC Parkinson - Solar w SGU - QLD,QLD,0.166,Solar,SRPXQLP5,4115,27/11/2025,19/02/2026,,accredited
BC Sunnybank Hills - Solar - QLD,QLD,0.049,Solar,SRPXQLQ4,4109,12/12/2025,19/02/2026,,accredited
Martin Brower North Brisbane - Solar -QLD,QLD,0.526,Solar,SRPXQLM6,4008,7/08/2025,19/02/2026,,accredited
Real Juice - Solar WSGU - NSW,NSW,0.49,Solar,SRPYNSI2,2680,8/10/2025,19/02/2026,,accredited
Shellharbour Retail Centre & BESS - Solar - NSW,NSW,0.439,Solar,SRPYNSK6,2529,6/02/2026,20/02/2026,,accredited
BC Murrumba Downs - Solar - QLD,QLD,0.013,Solar,SRPXQLP9,4503,8/12/2025,24/02/2026,,accredited
CleanPeak Energy - 8 Acacia Place - Solar - VIC,VIC,0.308,Solar,SRPXVCW4,3168,19/12/2025,24/02/2026,,accredited
Glen Innes-Solar-NSW,NSW,6.994,Solar,SRPYNSK5,2370,24/12/2025,25/02/2026,,accredited
"Tweed City Shopping Centre, Tweed Heads South - Solar - NSW",NSW,1.903,Solar,SRPYNSK7,2486,19/01/2026,25/02/2026,,accredited
BC Bundaberg - Solar - QLD,QLD,0.066,Solar,SRPXQLQ0,4670,8/12/2025,26/02/2026,,accredited
East Rockingham Resource Recovery Facility,WA,29.0,Biomass,,,,,Dec-2019,committed
Mangalore Renewable Energy Project,VIC,5.0,Solar,,,,,Sep-2021,committed
Orange Community Renewable Energy Park,NSW,5.0,Solar,,,,,Jul-2022,committed
Moorebank Logistics Park,NSW,60.0,Solar,,,,,Sep-2022,committed
Kidston Pumped Hydro Storage Project,QLD,250.0,Hydro,,,,,Jul-2023,committed
New England Solar Farm - Stage 2,NSW,320.0,Solar,,,,,Jul-2023,committed
Forest Glen Solar Farm,NSW,90.0,Solar,,,,,Dec-2023,committed
Uungula Wind Farm,NSW,414.0,Wind,,,,,Jan-2024,committed
St Ives Gold Solar Farm,WA,77.0,Wind,,,,,Mar-2024,committed
Arnotts Huntingwood Solar Project,NSW,4.95,Solar,,,,,May-2024,committed
Quorn Park Solar Hybrid,NSW,98.0,Solar,,,,,Jun-2024,committed
Lotus Creek Wind Farm,QLD,285.0,Wind,,,,,Aug-2024,committed
Goorambat Solar Farm,VIC,250.0,Solar,,,,,Aug-2024,committed
Hay Solar Farm,NSW,7.5,Solar,,,,,Sep-2024,committed
Broadsound Solar Farm,QLD,376.0,Solar,,,,,Sep-2024,committed
Boulder Creek Wind Farm,QLD,228.0,Wind,,,,,Sep-2024,committed
Horsham Solar Farm,VIC,118.8,Solar,,,,,Nov-2024,committed
Goulburn River Solar Farm,NSW,450.0,Solar,,,,,Dec-2024,committed
Wambo Wind Farm Stage 2,QLD,254.0,Wind,,,,,Dec-2024,committed
Warradarge Wind Farm Stage 2,WA,108.0,Wind,,,,,Dec-2024,committed
Bungama Solar Farm (stage 3),SA,280.0,Solar,,,,,Feb-2025,committed
Maryvale Solar Farm,NSW,172.0,Solar,,,,,Mar-2025,committed
Lancaster Solar Farm,VIC,106.0,Solar,,,,,Mar-2025,committed
Fulham Solar Farm,VIC,80.0,Solar,,,,,Apr-2025,committed
Cloudbreak Solar Farm,WA,190.0,Solar,,,,,Apr-2025,committed
Port Latta Wind Farm,TAS,25.0,Wind,,,,,Apr-2025,committed
Wandoan South Solar Farm (Stage 2),QLD,240.0,Solar,,,,,Apr-2025,committed
Mulwala Solar Farm,NSW,31.0,Solar,,,,,Jun-2025,committed
Wathagar Solar NSW (Stage 2),NSW,27.0,Solar,,,,,Jul-2025,committed
King Rocks Wind Farm,WA,105.0,Wind,,,,,Oct-2025,committed
Blind Creek Solar Farm,NSW,300.0,Solar,,,,,Nov-2025,committed
Waddi Wind Farm,WA,108.0,Wind,,,,,Dec-2025,committed
Carmody's Hill Wind Farm,SA,247.0,Wind,,,,,Dec-2025,committed
Delburn Wind Farm,VIC,205.0,Wind,,,,,Dec-2025,committed
Palmer Wind Farm,SA,288.0,Wind,,,,,Jan-2026,committed
Nullagine Wind Farm,WA,133.0,Wind,,,,,Jan-2026,committed
Barnawartha Solar Farm,VIC,64.000,Solar,,,,,,probable
Barwon solar farm,VIC,250.000,Solar,,,,,,probable
Bell Bay Wind Farm,TAS,224.000,Wind,,,,,,probable
Bendemeer Energy Hub - Solar,NSW,252.000,Solar,,,,,,probable
Binningup Solar Facility,WA,75.000,Solar,,,,,,probable
Boddington Giga Energy,WA,400.000,Solar,,,,,,probable
Bulli Creek Solar project Stage 1,QLD,775.000,Solar,,,,,,probable
Bullyard Solar Farm,QLD,100.000,Solar,,,,,,probable
Bundey Solar Farm,SA,240.000,Solar,,,,,,probable
Bungaban Wind Farm,QLD,"1,400.000",Wind,,,,,,probable
Campbells Forest Solar Farm,VIC,205.000,Solar,,,,,,probable
Clarke Creek Wind Farm Stage 2,QLD,704.000,Wind,,,,,,probable
Coppabella Wind Farm,NSW,284.000,Wind,,,,,,probable
Corop Solar Farm,VIC,440.000,Solar,,,,,,probable
Derby Solar Farm & Battery,VIC,95.000,Solar,,,,,,probable
Dinawan Wind Farm Stage 1,NSW,357.000,Wind,,,,,,probable
Elaine Solar Farm,VIC,125.000,Solar,,,,,,probable
Eurimbula Solar Farm,QLD,350.000,Solar,,,,,,probable
Frasers Solar Farm,VIC,77.000,Solar,,,,,,probable
Ganymirra Solar Power Station,QLD,150.000,Solar,,,,,,probable
Gawara Baya Wind Farm,QLD,399.000,Wind,,,,,,probable
Glanmire Solar Farm,NSW,60.000,Solar,,,,,,probable
Goyder North Wind Farm Stage 1,SA,300.000,Wind,,,,,,probable
Guthrie's Gap Solar Power Station,QLD,300.000,Solar,,,,,,probable
Hexham Wind Farm,VIC,600.000,Wind,,,,,,probable
Hopeland Solar Farm,QLD,250.000,Solar,,,,,,probable
Junction Rivers Wind Farm,NSW,585.000,Wind,,,,,,probable
Kalgoorlie Regional Renewable Energy Project (Solar),WA,138.000,Solar,,,,,,probable
Kalgoorlie Regional Renewable Energy Project (Wind),WA,256.000,Wind,,,,,,probable
Kentbruck Green Power Hub,VIC,600.000,Wind,,,,,,probable
Kiamal Solar Farm - Stage 2,VIC,150.000,Solar,,,,,,probable
Kidston Stage 3 Wind Project,QLD,120.000,Wind,,,,,,probable
Lakeland Wind Farm,QLD,100.000,Wind,,,,,,probable
Liverpool Range Wind Stage 1,NSW,634.000,Wind,,,,,,probable
Lower Wonga Solar Farm project,QLD,281.000,Solar,,,,,,probable
Majors Creek Solar Farm,QLD,150.000,Solar,,,,,,probable
Merino Solar Farm,NSW,450.000,Solar,,,,,,probable
Middlebrook Solar Farm,NSW,363.000,Solar,,,,,,probable
Moah Creek Wind Farm,QLD,360.000,Wind,,,,,,probable
Mount Hopeful Wind Farm,QLD,350.000,Wind,,,,,,probable
Northern Midlands Solar Farm,TAS,288.000,Solar,,,,,,probable
Nowingi Solar Power Station,VIC,300.000,Solar,,,,,,probable
Port Augusta Energy Park Stage 2,SA,300.000,Solar,,,,,,probable
Punchs Creek Solar Farm,QLD,400.000,Solar,,,,,,probable
Sandy Creek Solar Farm,NSW,700.000,Solar,,,,,,probable
Silverleaf Solar Farm,NSW,120.000,Solar,,,,,,probable
Smoky Creek Solar Power Station,QLD,300.000,Solar,,,,,,probable
Spicers Creek Wind Farm,NSW,700.000,Wind,,,,,,probable
Tallawang Solar Farm,NSW,500.000,Solar,,,,,,probable
Theodore Wind Farm,QLD,"1,152.000",Wind,,,,,,probable
Thunderbolt Wind Farm stage 1,NSW,230.000,Wind,,,,,,probable
Upper Calliope Solar Farm,QLD,"1,100.000",Solar,,,,,,probable
Vales Point Solar Farm,NSW,62.000,Solar,,,,,,probable
Valley of the Winds,NSW,936.000,Wind,,,,,,probable
Waroona Solar Farm,WA,120.000,Solar,,,,,,probable
West Mokoan Solar Farm,VIC,300.000,Solar,,,,,,probable
Willogoleche 2 Wind Farm,SA,108.000,Wind,,,,,,probable
Winton North Solar Farm,VIC,100.000,Solar,,,,,,probable
Woolsthorpe Wind Farm,VIC,70.000,Wind,,,,,,probable
